LastUpdated,PM10
2018-09-05 06:30:00,42.939
2018-09-05 06:15:00,43.299
2018-09-05 06:00:00,45.813
2018-09-05 05:45:00,43.273
2018-09-05 05:30:00,42.893
2018-09-05 05:15:00,31.519
2018-09-05 05:00:00,26.679
2018-09-05 04:45:00,21.093
2018-09-05 04:30:00,24.473
2018-09-05 04:15:00,20.843
2018-09-05 04:00:00,17.913
2018-09-05 03:45:00,15.966
2018-09-05 03:30:00,11.199
2018-09-05 03:15:00,7.253
2018-09-05 03:00:00,4.699
2018-09-05 02:45:00,3.939
2018-09-05 02:30:00,9.093
2018-09-05 02:15:00,10.393
2018-09-05 02:00:00,10.839
2018-09-05 01:45:00,10.513
2018-09-05 01:30:00,4.839
2018-09-05 01:15:00,4.386
2018-09-05 01:00:00,8.359
2018-09-05 00:45:00,9.226
2018-09-05 00:30:00,13.533
2018-09-05 00:15:00,12.106
2018-09-04 22:45:00,17.386
2018-09-04 22:30:00,16.519
2018-09-04 22:15:00,20.219
2018-09-04 22:00:00,16.006
2018-09-04 21:45:00,13.446
2018-09-04 21:30:00,20.753
2018-09-04 21:15:00,13.806
2018-09-04 21:00:00,15.986
2018-09-04 20:45:00,17.066
2018-09-04 20:30:00,18.613
2018-09-04 20:15:00,15.966
2018-09-04 20:00:00,22.379
2018-09-04 19:45:00,23.979
2018-09-04 19:30:00,26.453
2018-09-04 19:15:00,24.959
2018-09-04 19:00:00,23.386
2018-09-04 18:45:00,33.986
2018-09-04 18:30:00,40.019
2018-09-04 18:15:00,26.819
2018-09-04 18:00:00,26.546
2018-09-04 17:45:00,23.426
2018-09-04 17:30:00,12.619
2018-09-04 17:15:00,7.913
2018-09-04 17:00:00,10.586
2018-09-04 16:45:00,14.839
2018-09-04 16:30:00,23.659
2018-09-04 16:15:00,19.579
2018-09-04 16:00:00,18.953
2018-09-04 15:45:00,19.839
2018-09-04 15:30:00,18.259
2018-09-04 15:15:00,12.059
2018-09-04 15:00:00,11.733
2018-09-04 14:45:00,16.153
2018-09-04 14:30:00,19.186
2018-09-04 14:15:00,18.806
2018-09-04 14:00:00,15.273
2018-09-04 13:45:00,15.613
2018-09-04 13:30:00,20.819
2018-09-04 13:15:00,16.133
2018-09-04 13:00:00,15.219
2018-09-04 12:45:00,10.973
2018-09-04 12:30:00,9.479
2018-09-04 12:15:00,14.866
2018-09-04 12:00:00,9.519
2018-09-04 11:45:00,14.199
2018-09-04 11:30:00,22.946
2018-09-04 11:15:00,27.013
2018-09-04 11:00:00,22.333
2018-09-04 10:45:00,22.553
2018-09-04 10:30:00,16.999
2018-09-04 10:15:00,7.333
2018-09-04 10:00:00,10.893
2018-09-04 09:45:00,20.859
2018-09-04 09:30:00,4.273
2018-09-04 09:15:00,9.373
2018-09-04 09:00:00,17.533
2018-09-04 08:45:00,15.259
2018-09-04 08:30:00,15.406
2018-09-04 08:15:00,3.399
2018-09-04 08:00:00,12.579
2018-09-04 07:45:00,19.193
2018-09-04 07:30:00,27.413
2018-09-04 07:15:00,32.159
2018-09-04 07:00:00,40.773
2018-09-04 06:45:00,41.746
2018-09-04 06:30:00,49.933
2018-09-04 06:15:00,54.913
2018-09-04 06:00:00,49.799
2018-09-04 05:45:00,40.453
2018-09-04 05:30:00,28.879
2018-09-04 05:15:00,25.813
2018-09-04 05:00:00,24.866
2018-09-04 04:45:00,19.606
2018-09-04 04:30:00,11.633
2018-09-04 04:15:00,17.874
2018-09-04 04:00:00,11.846
2018-09-04 03:45:00,9.839
2018-09-04 03:30:00,6.239
2018-09-04 03:15:00,9.999
2018-09-04 03:00:00,6.259
2018-09-04 02:45:00,5.813
2018-09-04 02:30:00,3.433
2018-09-04 02:15:00,3.346
2018-09-04 02:00:00,3.093
2018-09-04 01:45:00,1.819
2018-09-04 01:30:00,4.326
2018-09-04 01:15:00,6.093
2018-09-04 01:00:00,3.859
2018-09-04 00:45:00,3.493
2018-09-04 00:30:00,4.113
2018-09-04 00:15:00,3.753
2018-09-03 22:45:00,8.826
2018-09-03 22:30:00,13.113
2018-09-03 22:15:00,15.326
2018-09-03 22:00:00,13.499
2018-09-03 21:45:00,15.699
2018-09-03 21:30:00,15.659
2018-09-03 21:15:00,13.986
2018-09-03 21:00:00,11.193
2018-09-03 20:45:00,7.746
2018-09-03 20:30:00,10.373
2018-09-03 20:15:00,11.813
2018-09-03 20:00:00,13.786
2018-09-03 19:45:00,10.493
2018-09-03 19:30:00,10.559
2018-09-03 19:15:00,8.666
2018-09-03 19:00:00,8.806
2018-09-03 18:45:00,9.693
2018-09-03 18:30:00,6.006
2018-09-03 18:15:00,8.933
2018-09-03 18:00:00,13.953
2018-09-03 17:45:00,9.093
2018-09-03 17:30:00,11.153
2018-09-03 17:15:00,10.806
2018-09-03 17:00:00,9.899
2018-09-03 16:45:00,38.019
2018-09-03 16:30:00,23.866
2018-09-03 16:15:00,11.733
2018-09-03 16:00:00,12.599
2018-09-03 15:45:00,-3.153
2018-09-03 15:30:00,2.539
2018-09-03 15:15:00,5.059
2018-09-03 15:00:00,8.446
2018-09-03 14:45:00,8.706
